regulon	gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
SCENIC_btd_activating_regulon	btd	-0.0822711108412444	4.17649726790175e-36	0.00676853567905232	FBgn0000233	FALSE	TRUE
SCENIC_CG10431_activating_regulon	CG10431	-0.0848116574276053	2.86025292965679e-38	0.00719301723561747	FBgn0032730	FALSE	TRUE
SCENIC_CG9890_activating_regulon	CG9890	-0.0857531468548568	4.34058654887757e-39	0.00735360219551063	FBgn0034814	FALSE	TRUE
SCENIC_CG11456_activating_regulon	CG11456	-0.086108627694465	2.11841909903052e-39	0.00741469576342398	FBgn0037031	FALSE	TRUE
SCENIC_CG11294_activating_regulon	CG11294	-0.0876666271321245	8.81759137331102e-41	0.00768543751272294	FBgn0030058	FALSE	TRUE
SCENIC_CG10631_activating_regulon	CG10631	-0.0881563327402296	3.20810451874281e-41	0.00777153900220607	FBgn0032817	FALSE	TRUE
SCENIC_bbx_activating_regulon	bbx	-0.0893560944176594	2.63072948381454e-42	0.00798451160957766	FBgn0024251	FALSE	TRUE
SCENIC_twi_activating_regulon	twi	-0.0897570906944006	1.13175750705313e-42	0.00805633532992285	FBgn0003900	FALSE	TRUE
SCENIC_CG18262_activating_regulon	CG18262	-0.0911752854037847	5.55839535351053e-44	0.00831293266846159	FBgn0030012	FALSE	TRUE
SCENIC_caup_activating_regulon	caup	-0.0925401683264071	2.9230793538385e-45	0.00856368275387976	FBgn0015919	FALSE	TRUE
SCENIC_salr_activating_regulon	salr	-0.0927844166591455	1.71760102289404e-45	0.00860894797477791	FBgn0000287	FALSE	TRUE
SCENIC_CG12942_activating_regulon	CG12942	-0.0932797892065372	5.81703428351358e-46	0.00870111907441602	FBgn0033569	FALSE	TRUE
SCENIC_CG17829_activating_regulon	CG17829	-0.0937807116919863	1.93484716324108e-46	0.00879482188545546	FBgn0025635	FALSE	TRUE
SCENIC_dbr_activating_regulon	dbr	-0.0940459539761189	1.07762507737997e-46	0.00884464145927828	FBgn0067779	FALSE	TRUE
SCENIC_HHEX_activating_regulon	HHEX	-0.0948491501332332	1.81283237219536e-47	0.00899636128099662	FBgn0038852	FALSE	TRUE
SCENIC_CG6808_activating_regulon	CG6808	-0.0981304351307067	1.06383517104268e-50	0.00962958229894183	FBgn0037921	FALSE	TRUE
SCENIC_tef_activating_regulon	tef	-0.0992270257696792	8.35938283311032e-52	0.00984600264309658	FBgn0086350	FALSE	TRUE
SCENIC_Antp_activating_regulon	Antp	-0.100914434964278	1.57772429532444e-53	0.0101837231841596	FBgn0260642	FALSE	TRUE
SCENIC_al_activating_regulon	al	-0.101754559937556	2.13129892257361e-54	0.0103539904680857	FBgn0000061	FALSE	TRUE
SCENIC_exex_activating_regulon	exex	-0.103246247639588	5.84803722164561e-56	0.0106597876516551	FBgn0041156	FALSE	TRUE
SCENIC_CG34367_activating_regulon	CG34367	-0.104089604375001	7.48022543591388e-57	0.0108346457389443	FBgn0085396	FALSE	TRUE
SCENIC_Dlip2_activating_regulon	Dlip2	-0.105571824848864	1.9338356339029e-58	0.0111454102019192	FBgn0040466	FALSE	TRUE
